Time, CA, CB,CAO, v0,
69.95,0.03999999965232029,0.15407522922772388,0.2,0.05,
70.45,0.03999999969578025,0.15422334846226282,0.2,0.05,
70.95,0.03999999973380772,0.1543677647202843,0.2,0.05,
71.45,0.039999999767081754,0.15450857057565798,0.2,0.05,
71.95,0.039999999796196534,0.15464585628797473,0.2,0.05,
72.45,0.03999999982167196,0.15477970986039502,0.2,0.05,
72.95,0.03999999984396296,0.15491021709605235,0.2,0.05,
73.45,0.0399999998634676,0.15503746165304733,0.2,0.05,
73.95,0.039999999880534154,0.1551615250980679,0.2,0.05,
74.45,0.03999999989546739,0.15528248695866964,0.2,0.05,
74.95,0.039999999908533965,0.15540042477424965,0.2,0.05,
75.45,0.03999999991996722,0.15551541414574682,0.2,0.05,
75.95,0.03999999992997132,0.15562752878409986,0.2,0.05,
76.45,0.0399999999387249,0.15573684055749448,0.2,0.05,
76.95,0.039999999946384285,0.15584341953742958,0.2,0.05,
77.45,0.03999999995308624,0.15594733404363226,0.2,0.05,
77.95,0.03999999995895047,0.15604865068785007,0.2,0.05,
78.45,0.039999999964081656,0.15614743441654888,0.2,0.05,
78.95,0.039999999968571454,0.1562437485525433,0.2,0.05,
79.45,0.03999999997250002,0.15633765483558687,0.2,0.05,
79.95,0.03999999997593752,0.15642921346194721,0.2,0.05,
80.45,0.039999999978945336,0.15651848312299227,0.2,0.05,
80.95,0.039999999981577175,0.156605521042812,0.2,0.05,
81.45,0.03999999998388003,0.1566903830148994,0.2,0.05,
81.95,0.03999999998589503,0.15677312343791494,0.2,0.05,
82.45,0.039999999987658144,0.15685379535055655,0.2,0.05,
82.95,0.03999999998920088,0.15693245046555843,0.2,0.05,
83.45,0.039999999990550775,0.15700913920283954,0.2,0.05,
83.95,0.03999999999173193,0.15708391072182365,0.2,0.05,
84.45,0.039999999992765434,0.15715681295295125,0.2,0.05,
84.95,0.03999999999366975,0.15722789262840403,0.2,0.05,
85.45,0.039999999994461036,0.15729719531206093,0.2,0.05,
85.95,0.03999999999515341,0.15736476542870553,0.2,0.05,
86.45,0.03999999999575923,0.15743064629250325,0.2,0.05,
86.95,0.03999999999628932,0.1574948801347666,0.2,0.05,
87.45,0.03999999999675316,0.15755750813102637,0.2,0.05,
87.95,0.039999999997159016,0.15761857042742605,0.2,0.05,
88.45,0.039999999997514135,0.15767810616645628,0.2,0.05,
88.95,0.03999999999782487,0.15773615351204628,0.2,0.05,
89.45,0.039999999998096766,0.15779274967402762,0.2,0.05,
89.95,0.03999999999833467,0.15784793093198662,0.2,0.05,
90.45,0.03999999999854284,0.15790173265852042,0.2,0.05,
90.95,0.039999999998724986,0.1579541893419117,0.2,0.05,
91.45,0.03999999999888436,0.1580053346082364,0.2,0.05,
91.95,0.039999999999023816,0.15805520124291894,0.2,0.05,
92.45,0.039999999999145844,0.15810382121174837,0.2,0.05,
92.95,0.03999999999925262,0.15815122568136925,0.2,0.05,
93.45,0.039999999999346045,0.15819744503926025,0.2,0.05,
93.95,0.039999999999427785,0.15824250891321334,0.2,0.05,
94.45,0.03999999999949931,0.15828644619032578,0.2,0.05,
94.95,0.0399999999995619,0.15832928503551758,0.2,0.05,
95.45,0.03999999999961666,0.1583710529095858,0.2,0.05,
95.95,0.03999999999966458,0.15841177658680783,0.2,0.05,
96.45,0.039999999999706506,0.15845148217210409,0.2,0.05,
96.95,0.0399999999997432,0.15849019511777213,0.2,0.05,
97.45,0.0399999999997753,0.15852794023980216,0.2,0.05,
97.95,0.03999999999980339,0.15856474173378465,0.2,0.05,
98.45,0.039999999999827965,0.1586006231904204,0.2,0.05,
98.95,0.039999999999849475,0.15863560761064266,0.2,0.05,
99.45,0.039999999999868294,0.15866971742036157,0.2,0.05,
99.95,0.03999999999988475,0.15870297448483933,0.2,0.05,
100.45,0.03999999999989916,0.15873540012270682,0.2,0.05,
100.95,0.03999999999991176,0.15876701511962904,0.2,0.05,
101.45,0.03999999999992279,0.15879783974162948,0.2,0.05,
101.95,0.03999999999993244,0.15882789374808104,0.2,0.05,
102.45,0.03999999999994089,0.15885719640437224,0.2,0.05,
102.95,0.03999999999994827,0.158885766494257,0.2,0.05,
103.45,0.03999999999995474,0.15891362233189543,0.2,0.05,
103.95,0.0399999999999604,0.1589407817735935,0.2,0.05,
104.45,0.039999999999965355,0.15896726222924967,0.2,0.05,
104.95,0.039999999999969685,0.15899308067351497,0.2,0.05,
105.45,0.03999999999997347,0.15901825365667405,0.2,0.05,
105.95,0.03999999999997679,0.15904279731525456,0.2,0.05,
106.45,0.03999999999997969,0.15906672738237088,0.2,0.05,
106.95,0.03999999999998223,0.15909005919780955,0.2,0.05,
107.45,0.03999999999998445,0.15911280771786251,0.2,0.05,
107.95,0.039999999999986394,0.1591349875249144,0.2,0.05,
108.45,0.0399999999999881,0.15915661283679017,0.2,0.05,
108.95,0.039999999999989586,0.15917769751586924,0.2,0.05,
109.45,0.03999999999999089,0.15919825507797147,0.2,0.05,
109.95,0.03999999999999203,0.15921829870102128,0.2,0.05,
110.45,0.03999999999999303,0.15923784123349494,0.2,0.05,
110.95,0.0399999999999939,0.15925689520265685,0.2,0.05,
